Macrotrends Data Download

China GDP 1960-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,59.716467625315,89.5205
1961-12-31,50.056868957673,75.8058,-27.27
1962-12-31,47.209359005606,70.9094,-5.58
1963-12-31,50.70679990251,74.3136,10.3
1964-12-31,59.708343488504,85.4986,18.18
1965-12-31,70.436266146722,98.4868,16.95
1966-12-31,76.720285969616,104.3246,10.65
1967-12-31,72.881631326671,96.5895,-5.77
1968-12-31,70.84653505565,91.4727,-4.1
1969-12-31,79.705906247461,100.1299,16.94
1970-12-31,92.602973434073,113.163,19.3
1971-12-31,99.800958648144,118.6546,7.06
1972-12-31,113.68758629905,131.8836,3.81
1973-12-31,138.54428470896,157.0904,7.76
1974-12-31,144.18213338772,160.1401,2.31
1975-12-31,163.43155177976,178.3418,8.72
1976-12-31,153.94045534151,165.4055,-1.57
1977-12-31,174.93809882657,185.4228,7.57
1978-12-31,149.54075282927,156.3964,11.326
1979-12-31,178.28059441304,183.9832,7.5913
1980-12-31,191.149211575,194.8047,7.8341
1981-12-31,195.86638243254,197.0715,5.1128
1982-12-31,205.08969985878,203.3349,9.0171
1983-12-31,230.68674715326,225.4319,10.7702
1984-12-31,259.94651095714,250.714,15.1915
1985-12-31,309.48802813265,294.4588,13.4307
1986-12-31,300.75810010725,281.9281,8.95
1987-12-31,272.97297476457,251.812,11.6574
1988-12-31,312.35363120782,283.5377,11.2226
1989-12-31,347.76805131174,310.8819,4.2063
1990-12-31,360.85791256597,317.8847,3.9203
1991-12-31,383.37331808362,333.1421,9.2628
1992-12-31,426.91571271115,366.4607,14.2245
1993-12-31,444.73128243676,377.3898,13.8837
1994-12-31,564.32467000592,473.4923,13.0368
1995-12-31,734.54789822051,609.6567,10.954
1996-12-31,863.74671750379,709.4138,9.9226
1997-12-31,961.60395295182,781.7442,9.2368
1998-12-31,1029.0430975541,828.5805,7.846
1999-12-31,1093.9972672711,873.2871,7.6617
2000-12-31,1211.3468696052,959.3725,8.4901
2001-12-31,1339.3957188653,1053.1082,8.3357
2002-12-31,1470.5500150816,1148.5083,9.1336
2003-12-31,1660.2879656627,1288.6433,10.038
2004-12-31,1955.3470049633,1508.6681,10.1136
2005-12-31,2285.9658923605,1753.4178,11.3946
2006-12-31,2752.1317733552,2099.2294,12.721
2007-12-31,3550.3427370108,2693.9701,14.2309
2008-12-31,4594.3070326608,3468.3046,9.6507
2009-12-31,5101.703073086,3832.2364,9.3987
2010-12-31,6087.1638745122,4550.4531,10.6359
2011-12-31,7551.5001242034,5618.1323,9.5508
2012-12-31,8532.2299869937,6316.9183,7.8637
2013-12-31,9570.4062356596,7050.6463,7.7662
2014-12-31,10475.682920594,7678.5995,7.4258
2015-12-31,11061.553079876,8066.9426,7.0413
2016-12-31,11233.276536737,8147.9377,6.8488
2017-12-31,12310.409370893,8879.4387,6.9472
2018-12-31,13894.817549374,9976.6771,6.7498
2019-12-31,14342.903006431,10261.6792,6.1101
